Quarter,Ticker,Total Revenue,Net Income,Research And Development,Revenue Growth YoY,Net Margin,R&D Intensity,Slope,Revenue Rank,Revenue Negative,YearQ
2024-04-30,MDB,450561000.0,-80593000.0,146060000.0,,-17.89,32.42,,1.0,False,2024Q2
2024-07-31,MDB,478109000.0,-54529000.0,148967000.0,,-11.41,31.16,27548000.0,1.0,False,2024Q3
2024-10-31,MDB,529375000.0,-9776000.0,151410000.0,,-1.85,28.6,51266000.0,1.0,False,2024Q4
2025-01-31,MDB,548398000.0,15826000.0,150400000.0,,2.89,27.43,19023000.0,1.0,False,2025Q1
2025-04-30,MDB,549014000.0,-37626000.0,168829000.0,21.85,-6.85,30.75,616000.0,1.0,False,2025Q2
2024-03-31,DDOG,611253000.0,42631000.0,269988000.0,,6.97,44.17,,1.0,False,2024Q1
2024-06-30,DDOG,645279000.0,43824000.0,274599000.0,,6.79,42.56,34026000.0,1.0,False,2024Q2
2024-09-30,DDOG,690016000.0,51697000.0,291802000.0,,7.49,42.29,44737000.0,1.0,False,2024Q3
2024-12-31,DDOG,737727000.0,45594000.0,316314000.0,,6.18,42.88,47711000.0,1.0,False,2024Q4
2025-03-31,DDOG,761553000.0,24642000.0,341061000.0,24.59,3.24,44.78,23826000.0,1.0,False,2025Q1
2024-04-30,SNOW,828709000.0,-316988000.0,410794000.0,,-38.25,49.57,,1.0,False,2024Q2
2024-07-31,SNOW,868823000.0,-316899000.0,437660000.0,,-36.47,50.37,40114000.0,1.0,False,2024Q3
2024-10-31,SNOW,942094000.0,-324279000.0,442435000.0,,-34.42,46.96,73271000.0,1.0,False,2024Q4
2025-01-31,SNOW,986770000.0,-327474000.0,492490000.0,,-33.19,49.91,44676000.0,1.0,False,2025Q1
2025-04-30,SNOW,1042074000.0,-430092000.0,472404000.0,25.75,-41.27,45.33,55304000.0,1.0,False,2025Q2
2024-03-31,PLTR,634338000.0,105530000.0,110040000.0,,16.64,17.35,,1.0,False,2024Q1
2024-06-30,PLTR,678134000.0,134126000.0,108781000.0,,19.78,16.04,43796000.0,1.0,False,2024Q2
2024-09-30,PLTR,725516000.0,143525000.0,117555000.0,,19.78,16.2,47382000.0,1.0,False,2024Q3
2024-12-31,PLTR,827519000.0,79009000.0,171502000.0,,9.55,20.72,102003000.0,1.0,False,2024Q4
2025-03-31,PLTR,883855000.0,214031000.0,134889000.0,39.34,24.22,15.26,56336000.0,1.0,False,2025Q1
2024-04-30,CRM,9133000000.0,1533000000.0,1368000000.0,,16.79,14.98,,1.0,False,2024Q2
2024-07-31,CRM,9325000000.0,1429000000.0,1349000000.0,,15.32,14.47,192000000.0,1.0,False,2024Q3
2024-10-31,CRM,9444000000.0,1527000000.0,1356000000.0,,16.17,14.36,119000000.0,1.0,False,2024Q4
2025-01-31,CRM,9993000000.0,1708000000.0,1420000000.0,,17.09,14.21,549000000.0,1.0,False,2025Q1
2025-04-30,CRM,9829000000.0,1541000000.0,1460000000.0,7.62,15.68,14.85,-164000000.0,1.0,False,2025Q2
2024-03-31,DOCN,184730000.0,14139000.0,32927000.0,,7.65,17.82,,1.0,False,2024Q1
2024-06-30,DOCN,192476000.0,19138000.0,34040000.0,,9.94,17.69,7746000.0,1.0,False,2024Q2
2024-09-30,DOCN,198484000.0,32949000.0,37377000.0,,16.6,18.83,6008000.0,1.0,False,2024Q3
2024-12-31,DOCN,204925000.0,18266000.0,37111000.0,,8.91,18.11,6441000.0,1.0,False,2024Q4
2025-03-31,DOCN,210703000.0,38204000.0,39594000.0,14.06,18.13,18.79,5778000.0,1.0,False,2025Q1
2024-04-30,ZS,553201000.0,19124000.0,124958000.0,,3.46,22.59,,1.0,False,2024Q2
2024-07-31,ZS,592868000.0,-14878000.0,139150000.0,,-2.51,23.47,39667000.0,1.0,False,2024Q3
2024-10-31,ZS,627955000.0,-12051000.0,154254000.0,,-1.92,24.56,35087000.0,1.0,False,2024Q4
2025-01-31,ZS,647900000.0,-7724000.0,170860000.0,,-1.19,26.37,19945000.0,1.0,False,2025Q1
2025-04-30,ZS,678034000.0,-4125000.0,169765000.0,22.57,-0.61,25.04,30134000.0,1.0,False,2025Q2
2024-04-30,PANW,1984800000.0,278800000.0,457200000.0,,14.05,23.04,,1.0,False,2024Q2
2024-07-31,PANW,2189500000.0,357700000.0,494800000.0,,16.34,22.6,204700000.0,1.0,False,2024Q3
2024-10-31,PANW,2138800000.0,350700000.0,480400000.0,,16.4,22.46,-50700000.0,1.0,False,2024Q4
2025-01-31,PANW,2257400000.0,267300000.0,505700000.0,,11.84,22.4,118600000.0,1.0,False,2025Q1
2025-04-30,PANW,2289000000.0,262100000.0,494500000.0,15.33,11.45,21.6,31600000.0,1.0,False,2025Q2
2024-04-30,OKTA,617000000.0,-40000000.0,163000000.0,,-6.48,26.42,,1.0,False,2024Q2
2024-07-31,OKTA,646000000.0,29000000.0,164000000.0,,4.49,25.39,29000000.0,1.0,False,2024Q3
2024-10-31,OKTA,665000000.0,16000000.0,158000000.0,,2.41,23.76,19000000.0,1.0,False,2024Q4
2025-01-31,OKTA,682000000.0,23000000.0,157000000.0,,3.37,23.02,17000000.0,1.0,False,2025Q1
2025-04-30,OKTA,688000000.0,62000000.0,154000000.0,11.51,9.01,22.38,6000000.0,1.0,False,2025Q2
2024-04-30,CRWD,921036000.0,42820000.0,235249000.0,,4.65,25.54,,1.0,False,2024Q2
2024-07-31,CRWD,963872000.0,47013000.0,250908000.0,,4.88,26.03,42836000.0,1.0,False,2024Q3
2024-10-31,CRWD,1010178000.0,-16822000.0,275602000.0,,-1.67,27.28,46306000.0,1.0,False,2024Q4
2025-01-31,CRWD,1058538000.0,-92282000.0,315142000.0,,-8.72,29.77,48360000.0,1.0,False,2025Q1
2025-04-30,CRWD,1103434000.0,-110207000.0,334129000.0,19.8,-9.99,30.28,44896000.0,1.0,False,2025Q2
2024-04-30,S,186355000.0,-70105000.0,58321000.0,,-37.62,31.3,,1.0,False,2024Q2
2024-07-31,S,198937000.0,-69184000.0,63602000.0,,-34.78,31.97,12582000.0,1.0,False,2024Q3
2024-10-31,S,210648000.0,-78364000.0,70453000.0,,-37.2,33.45,11711000.0,1.0,False,2024Q4
2025-01-31,S,225521000.0,-70788000.0,74626000.0,,-31.39,33.09,14873000.0,1.0,False,2025Q1
2025-04-30,S,229029000.0,-208193000.0,72253000.0,22.9,-90.9,31.55,3508000.0,1.0,False,2025Q2
2024-03-31,LSCC,140815000.0,14796000.0,40591000.0,,10.51,28.83,,1.0,False,2024Q1
2024-06-30,LSCC,124076000.0,22631000.0,38733000.0,,18.24,31.22,-16739000.0,1.0,False,2024Q2
2024-09-30,LSCC,127091000.0,7190000.0,41398000.0,,5.66,32.57,3015000.0,1.0,False,2024Q3
2024-12-31,LSCC,117419000.0,16514000.0,38580000.0,,14.06,32.86,-9672000.0,1.0,False,2024Q4
2025-03-31,LSCC,120150000.0,5022000.0,41387000.0,-14.68,4.18,34.45,2731000.0,1.0,True,2025Q1
2024-03-31,ON,1862700000.0,453000000.0,150000000.0,,24.32,8.05,,1.0,False,2024Q1
2024-06-30,ON,1735200000.0,338200000.0,156500000.0,,19.49,9.02,-127500000.0,1.0,False,2024Q2
2024-09-30,ON,1761900000.0,401700000.0,151000000.0,,22.8,8.57,26700000.0,1.0,False,2024Q3
2024-12-31,ON,1722500000.0,379900000.0,155200000.0,,22.06,9.01,-39400000.0,1.0,False,2024Q4
2025-03-31,ON,1445700000.0,-486100000.0,164100000.0,-22.39,-33.62,11.35,-276800000.0,1.0,True,2025Q1
2024-03-31,MPWR,457885000.0,92541000.0,75990000.0,,20.21,16.6,,1.0,False,2024Q1
2024-06-30,MPWR,507431000.0,100366000.0,77945000.0,,19.78,15.36,49546000.0,1.0,False,2024Q2
2024-09-30,MPWR,620119000.0,144430000.0,85051000.0,,23.29,13.72,112688000.0,1.0,False,2024Q3
2024-12-31,MPWR,621665000.0,1449363000.0,85762000.0,,233.14,13.8,1546000.0,1.0,False,2024Q4
2025-03-31,MPWR,637554000.0,133791000.0,92227000.0,39.24,20.99,14.47,15889000.0,1.0,False,2025Q1
2024-06-30,RMBS,132138000.0,36056000.0,40525000.0,,27.29,30.67,,1.0,False,2024Q2
2024-09-30,RMBS,145513000.0,48665000.0,41299000.0,,33.44,28.38,13375000.0,1.0,False,2024Q3
2024-12-31,RMBS,161102000.0,62202000.0,43698000.0,,38.61,27.12,15589000.0,1.0,False,2024Q4
2025-03-31,RMBS,166664000.0,60303000.0,42620000.0,,36.18,25.57,5562000.0,1.0,False,2025Q1
2025-06-30,RMBS,172209000.0,57935000.0,46331000.0,30.33,33.64,26.9,5545000.0,1.0,False,2025Q2
2024-06-30,NET,400996000.0,-15078000.0,102547000.0,,-3.76,25.57,,1.0,False,2024Q2
2024-09-30,NET,430082000.0,-15331000.0,110911000.0,,-3.56,25.79,29086000.0,1.0,False,2024Q3
2024-12-31,NET,459946000.0,-12848000.0,120213000.0,,-2.79,26.14,29864000.0,1.0,False,2024Q4
2025-03-31,NET,479087000.0,-38454000.0,115089000.0,,-8.03,24.02,19141000.0,1.0,False,2025Q1
2025-06-30,NET,512316000.0,-50446000.0,134557000.0,27.76,-9.85,26.26,33229000.0,1.0,False,2025Q2
2024-03-31,FSLY,133520000.0,-43427000.0,38248000.0,,-32.52,28.65,,1.0,False,2024Q1
2024-06-30,FSLY,132371000.0,-43729000.0,35106000.0,,-33.04,26.52,-1149000.0,1.0,False,2024Q2
2024-09-30,FSLY,137206000.0,-38016000.0,31884000.0,,-27.71,23.24,4835000.0,1.0,False,2024Q3
2024-12-31,FSLY,140579000.0,-32886000.0,32742000.0,,-23.39,23.29,3373000.0,1.0,False,2024Q4
2025-03-31,FSLY,144474000.0,-39148000.0,37429000.0,8.2,-27.1,25.91,3895000.0,1.0,False,2025Q1
2024-04-30,ESTC,334999000.0,-41100000.0,93951000.0,,-12.27,28.05,,1.0,False,2024Q2
2024-07-31,ESTC,347420000.0,-49227000.0,89332000.0,,-14.17,25.71,12421000.0,1.0,False,2024Q3
2024-10-31,ESTC,365361000.0,-25450000.0,88163000.0,,-6.97,24.13,17941000.0,1.0,False,2024Q4
2025-01-31,ESTC,382083000.0,-17056000.0,93598000.0,,-4.46,24.5,16722000.0,1.0,False,2025Q1
2025-04-30,ESTC,388432000.0,-16381000.0,94665000.0,15.95,-4.22,24.37,6349000.0,1.0,False,2025Q2
2024-03-31,TWLO,1047050000.0,-55349000.0,251615000.0,,-5.29,24.03,,1.0,False,2024Q1
2024-06-30,TWLO,1082502000.0,-31858000.0,243652000.0,,-2.94,22.51,35452000.0,1.0,False,2024Q2
2024-09-30,TWLO,1133649000.0,-9726000.0,260903000.0,,-0.86,23.01,51147000.0,1.0,False,2024Q3
2024-12-31,TWLO,1194835000.0,-12470000.0,252577000.0,,-1.04,21.14,61186000.0,1.0,False,2024Q4
2025-03-31,TWLO,1172463000.0,20017000.0,254295000.0,11.98,1.71,21.69,-22372000.0,1.0,False,2025Q1
2024-04-30,AI,86590000.0,-72927000.0,50618000.0,,-84.22,58.46,,1.0,False,2024Q2
2024-07-31,AI,87213000.0,-62827000.0,52927000.0,,-72.04,60.69,623000.0,1.0,False,2024Q3
2024-10-31,AI,94338000.0,-65972000.0,55715000.0,,-69.93,59.06,7125000.0,1.0,False,2024Q4
2025-01-31,AI,98782000.0,-80201000.0,59356000.0,,-81.19,60.09,4444000.0,1.0,False,2025Q1
2025-04-30,AI,108723000.0,-79702000.0,58393000.0,25.56,-73.31,53.71,9941000.0,1.0,False,2025Q2
